Sales_ID,Sales_Date,Customer_Name,Gender,Country,Category,Product,Quantity,Unit_Price,Payment method
S10001,2025-02-25,Samuel Obi,Male,Ghana,Electronics,Laptop,2,450000,Cash
S10002,2025-08-26,Grace Musa,Male,Ghana,Furniture,Office Chair,9,95000,Cash
S10003,2025-02-10,Joy Emmanuel,Female,Nigeria,Clothing,Jacket,3,70000,Mobile Money
S10004,2025-01-07,Esther Eze,Female,Nigeria,Groceries,Sugar,2,18000,Mobile Money
S10005,2025-12-02,Emeka Nwosu,Female,Nigeria,Electronics,Tablet,8,180000,Cash
S10006,2025-06-15,Emeka Nwosu,Female,United Kingdom,Furniture,Office Chair,4,95000,Cash
S10007,2025-07-27,Grace Musa,Male,Nigeria,Electronics,Smartphone,7,280000,Bank Transfer
S10008,2025-11-17,John Williams,Female,Ghana,Furniture,Bookshelf,5,85000,Cash
S10009,2025-04-04,Joy Emmanuel,Female,Kenya,Clothing,Jeans,9,28000,Card
S10010,2025-07-24,David Okoro,Female,South Africa,Groceries,Rice,5,85000,Cash
S10011,2025-04-03,Anthony Brown,Female,United States,Clothing,Sneakers,8,55000,Card
S10012,2025-06-28,Victor Chukwu,Female,United States,Groceries,Cooking Oil,10,32000,Mobile Money
S10013,2025-11-01,Mary Johnson,Female,Nigeria,Furniture,Bookshelf,1,85000,Cash
S10014,2025-04-02,Emeka Nwosu,Male,South Africa,Clothing,Jeans,7,28000,Mobile Money
S10015,2025-05-22,Victor Chukwu,Female,United States,Groceries,Rice,6,85000,Cash
S10016,2025-05-28,Joy Emmanuel,Male,United States,Groceries,Cereal,5,9500,Card
S10017,2025-12-18,Emeka Nwosu,Male,Ghana,Electronics,Tablet,6,180000,Card
S10018,2025-11-09,Aisha Bello,Male,Kenya,Electronics,Tablet,5,180000,Card
S10019,2025-02-09,Grace Musa,Female,Nigeria,Electronics,Smartphone,9,280000,Card
S10020,2025-11-24,Fatima Ibrahim,Female,Ghana,Clothing,Jacket,9,70000,Card
S10021,2025-12-05,Joy Emmanuel,Female,Nigeria,Groceries,Cereal,4,9500,Card
S10022,2025-06-24,Ruth Adams,Male,United Kingdom,Electronics,Tablet,4,180000,Cash
S10023,2025-06-04,Grace Musa,Male,Kenya,Electronics,Laptop,2,450000,Card
S10024,2025-02-04,Victor Chukwu,Male,United States,Groceries,Cereal,10,9500,Mobile Money
S10025,2025-05-11,Esther Eze,Male,Nigeria,Clothing,Jacket,7,70000,Bank Transfer
S10026,2025-12-01,David Okoro,Male,Nigeria,Furniture,Table,7,120000,Bank Transfer
S10027,2025-05-11,Esther Eze,Female,Ghana,Electronics,Smartphone,7,280000,Card
S10028,2025-08-06,Grace Musa,Female,United Kingdom,Groceries,Cereal,2,9500,Cash
S10029,2025-09-17,Ibrahim Yusuf,Female,South Africa,Electronics,Laptop,8,450000,Card
S10030,2025-04-27,Sarah Ahmed,Male,South Africa,,Office Chair,5,95000,Mobile Money
S10031,2025-03-22,Mary Johnson,Male,Kenya,Groceries,Cereal,4,9500,Cash
S10032,2025-06-22,David Okoro,Female,United Kingdom,Electronics,Tablet,9,180000,Card
S10033,2025-06-27,Grace Musa,Male,United States,Electronics,Laptop,4,450000,Mobile Money
S10034,2025-04-23,Emeka Nwosu,Male,South Africa,Electronics,Smartphone,10,280000,Bank Transfer
S10035,2025-07-23,Samuel Obi,Female,South Africa,Groceries,Cooking Oil,3,32000,Bank Transfer
S10036,2025-08-21,Aisha Bello,Female,United Kingdom,Furniture,Bookshelf,10,85000,Cash
S10037,2025-07-15,Fatima Ibrahim,Male,Kenya,Electronics,Smartphone,2,280000,Card
S10038,2025-03-25,Joy Emmanuel,Female,United Kingdom,Groceries,Sugar,9,18000,Cash
S10039,2025-08-28,Fatima Ibrahim,Male,Nigeria,Groceries,Rice,9,85000,Card
S10040,2025-07-11,Blessing Okafor,Male,United States,Groceries,Sugar,5,18000,Mobile Money
S10041,2025-06-11,Peter Osei,Female,Nigeria,Groceries,Rice,1,85000,Bank Transfer
S10042,2025-11-11,Joy Emmanuel,Female,United Kingdom,Clothing,Sneakers,1,55000,Cash
S10043,2025-03-05,John Williams,Male,South Africa,Electronics,Smartphone,3,280000,Cash
S10044,2025-04-09,John Williams,Male,United States,Groceries,Sugar,4,18000,Cash
S10045,2025-02-01,Samuel Obi,Male,Ghana,Groceries,Cereal,7,9500,Cash
S10046,2025-06-16,Samuel Obi,Female,Ghana,Clothing,Sneakers,2,55000,Mobile Money
S10047,2025-09-01,Esther Eze,Female,Kenya,Electronics,Headphones,5,45000,Card
S10048,2025-05-13,Sarah Ahmed,Female,Kenya,Clothing,T-Shirt,2,12000,Bank Transfer
S10049,2025-09-26,Aisha Bello,Male,Kenya,Groceries,Cereal,3,9500,Bank Transfer
S10050,2025-02-20,John Williams,Female,South Africa,Electronics,Laptop,10,450000,Cash
S10051,2025-05-21,David Okoro,Female,Nigeria,Furniture,Desk,9,150000,Card
S10052,2025-08-01,Blessing Okafor,Female,United States,Groceries,Cereal,2,9500,Bank Transfer
S10053,2025-07-17,Sarah Ahmed,Female,United Kingdom,Groceries,Cereal,3,9500,Card
S10054,2025-10-18,Emeka Nwosu,Female,South Africa,Furniture,Table,9,120000,Cash
S10055,2025-02-15,Peter Osei,Female,South Africa,Groceries,Sugar,8,18000,Mobile Money
